trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1093,False,"{'a': 0.1, 'e': 0.792595179751477}",30,17,-49.80765003763176,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
1094,False,"{'a': 0.1, 'e': 0.8495087524481897}",25,0,-213.67528687951665,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
1095,False,"{'a': 0.1, 'e': 0.8979343145007}",25,2,-46.51856132514703,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
1096,False,"{'a': 0.1, 'e': 0.937388013700347}",25,16,-0.30937504520399983,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.1, 'e': 0.9674756417263753}",20,0,-175.73441794680602,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
1098,False,"{'a': 0.1, 'e': 0.9878965729452052}",25,0,-126.49012238861184,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
1099,False,"{'a': 0.1, 'e': 0.9984467681623544}",20,0,-130.1140552861958,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1100,False,"{'a': 0.1, 'e': 0.999020813314648}",30,0,-86.10841993002579,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
1101,False,"{'a': 0.1, 'e': 0.9896129727326761}",35,0,-119.552803798036,"{0: 20, 1: 3, 2: 11, 3: 1, 4: 0}",0
1102,False,"{'a': 0.1, 'e': 0.970317246449718}",35,0,-272.9845933328115,"{0: 18, 1: 8, 2: 3, 3: 1, 4: 5}",0
1103,False,"{'a': 0.1, 'e': 0.9413264309844682}",20,11,2.505685324888894,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1104,False,"{'a': 0.1, 'e': 0.9029301929819743}",25,18,-12.881824967826384,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
1105,False,"{'a': 0.1, 'e': 0.855512174960245}",25,9,-3.686057034996516,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1106,False,"{'a': 0.1, 'e': 0.799546162081032}",25,0,-224.141256411719,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
1107,False,"{'a': 0.1, 'e': 0.735591348245136}",20,12,-27.335433540540308,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
